         time                    omegax                   omegay                   omegaz                     bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 4.700000000000000e-01    1.150735598505509e+00    9.671963313066760e-01    3.141592653589793e+02   -9.339063760884401e-04   -2.336515531271778e-02    9.997265612833482e-01    5.372276807668849e-01   -8.432185773346267e-01   -1.920546418310996e-02    8.434367473830648e-01    5.370628458150505e-01    1.333989540504302e-02
 4.800000000000000e-01   -1.054911800259136e+00   -9.773414052011784e-01    3.141592653589793e+02    9.111235284030326e-03    2.863566715203583e-02   -9.995483900030467e-01   -5.464969216403838e-01    8.372454522520820e-01    1.900440263851495e-02    8.374115475849188e-01    5.460769645846197e-01    2.327764425350500e-02
 4.900000000000000e-01    9.585787768840541e-01    9.782213926490940e-01    3.141592653589793e+02   -1.727770384235533e-02   -3.401968441047153e-02    9.992718058775932e-01    5.548991533223359e-01   -8.317069595898838e-01   -1.872065732650562e-02    8.317381863251521e-01    5.541716290485844e-01    3.324748060694906e-02
 5.000000000000000e-01   -8.626389605641130e-01   -9.698401018295670e-01    3.141592653589793e+02    2.535940107017139e-02    3.945747731333622e-02   -9.988993984685046e-01   -5.624484720569948e-01    8.266281689833304e-01    1.837352777293659e-02    8.264433538104442e-01    5.613634987486629e-01    4.315559309914538e-02
 5.100000000000000e-01    7.679883498038160e-01    9.522878334134418e-01    3.141592653589793e+02   -3.328452212763820e-02   -4.488776051594522e-02    9.984373939020390e-01    5.691655428624216e-01   -8.220262832500100e-01   -1.798261557950591e-02    8.215489793093184e-01    5.676776185495155e-01    5.290931859617867e-02
 5.200000000000000e-01   -6.755082205917219e-01   -9.257400139574450e-01    3.141592653589793e+02    4.098379204541852e-02    5.024875897365783e-02   -9.978954810051355e-01   -5.750772137840553e-01    8.179105053231488e-01    1.756711322778616e-02    8.170719227676650e-01    5.731469859500730e-01    6.241799036853216e-02
 5.300000000000000e-01    5.860570737907902e-01    8.904550626214522e-01    3.141592653589793e+02   -4.839084153474322e-02   -5.547924510071540e-02    9.972865083905879e-01    5.802161256478636e-01   -8.142820715285836e-01   -1.714513120507800e-02    8.130237228968321e-01    5.778120467333577e-01    7.159374733407338e-02
 5.400000000000000e-01   -5.004628861350856e-01   -8.467715292395839e-01    3.141592653589793e+02    5.544254287685551e-02    6.051952199483972e-02   -9.966260642267627e-01   -5.846203242453244e-01    8.111344403108370e-01    1.673308757034418e-02    8.094104032676558e-01    5.817201278958494e-01    8.035229855758777e-02
 5.500000000000000e-01    4.195157260988882e-01    7.951045466530507e-01    3.141592653589793e+02   -6.207931459406452e-02   -6.531233067082425e-02    9.959319545838088e-01    5.883328794423319e-01   -8.084536214369477e-01   -1.634518128626932e-02    8.062323372737418e-01    5.849248169191074e-01    8.861363826653233e-02
 5.600000000000001e-01   -3.439607896709653e-01   -7.359416441228771e-01    3.141592653589793e+02    6.824540374208009e-02    6.980366300416592e-02   -9.952235997495832e-01   -5.914015132197961e-01    8.062186273970408e-01    1.599296714348445e-02    8.034841722328157e-01    5.874852963855831e-01    9.630270766004283e-02
 5.700000000000001e-01    2.744919048659155e-01    6.698379716472551e-01    3.141592653589793e+02   -7.388915424776539e-02   -7.394346626492813e-02    9.945213706504771e-01    5.938782362443283e-01   -8.044020262559103e-01   -1.568504604331681e-02    8.011548123796680e-01    5.894656427240959e-01    1.033500007224584e-01
 5.800000000000001e-01   -2.117455477653289e-01   -5.974109871982188e-01    3.141592653589793e+02    7.896326878358870e-02    7.768622954604924e-02   -9.938458894220696e-01   -5.958189903447225e-01    8.029705736316710e-01    1.542687994604220e-02    7.992274600680438e-01    5.909340975274281e-01    1.096921120828322e-01
 5.900000000000001e-01    1.562954071088148e-01    5.193346603689185e-01    3.141592653589793e+02   -8.342507027578153e-02   -8.099144688484165e-02    9.932173192107465e-01    5.972832923351126e-01   -8.018859007917412e-01   -1.522073609846659e-02    7.976797141372015e-01    5.919623194451852e-01    1.152722256731110e-01
