         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 7.200000000000001e-01    9.999999999995227e-01    9.999999999994995e-01    1.000000000000006e+00   -5.126107871511465e-15    1.393329895904571e-14   -2.104002735925370e-15    1.543404844354061e+03
 7.300000000000001e-01    9.999999999995164e-01    9.999999999994916e-01    1.000000000000005e+00   -6.050715484207103e-15    1.493249968120836e-14   -5.322565305165838e-15    1.543404844354058e+03
 7.400000000000001e-01    9.999999999995111e-01    9.999999999994849e-01    1.000000000000005e+00   -6.007347397307683e-15    1.500188862024743e-14   -5.598169497411654e-15    1.543404844354061e+03
 7.500000000000001e-01    9.999999999995057e-01    9.999999999994770e-01    1.000000000000005e+00   -6.711645128554267e-15    1.276756478318930e-14   -6.091915166761552e-15    1.543404844354061e+03
 7.600000000000000e-01    9.999999999994993e-01    9.999999999994704e-01    1.000000000000004e+00   -7.344819197285801e-15    1.393329895904571e-14   -4.397524011601206e-15    1.543404844354057e+03
 7.700000000000000e-01    9.999999999994927e-01    9.999999999994631e-01    1.000000000000005e+00   -8.345754642924419e-15    1.429412144204889e-14   -4.265901867861466e-15    1.543404844354063e+03
 7.800000000000000e-01    9.999999999994851e-01    9.999999999994558e-01    1.000000000000006e+00   -8.576472865229334e-15    1.450922715307001e-14   -3.890659495964233e-15    1.543404844354065e+03
 7.900000000000000e-01    9.999999999994785e-01    9.999999999994509e-01    1.000000000000006e+00   -9.587816651723813e-15    1.570965579844597e-14   -2.922033275065683e-15    1.543404844354067e+03
 8.000000000000000e-01    9.999999999994715e-01    9.999999999994450e-01    1.000000000000006e+00   -9.197503869629031e-15    1.548067229961703e-14   -2.762384505167192e-15    1.543404844354062e+03
 8.100000000000001e-01    9.999999999994644e-01    9.999999999994389e-01    1.000000000000006e+00   -1.021058237959949e-14    1.517536096784511e-14   -3.387643898039583e-15    1.543404844354065e+03
 8.200000000000001e-01    9.999999999994567e-01    9.999999999994320e-01    1.000000000000004e+00   -9.594755545627720e-15    1.587271980518778e-14   -2.117582368135751e-15    1.543404844354062e+03
 8.300000000000001e-01    9.999999999994503e-01    9.999999999994247e-01    1.000000000000005e+00   -1.180305853054620e-14    1.561251128379126e-14   -4.887895101689244e-15    1.543404844354065e+03
 8.400000000000001e-01    9.999999999994434e-01    9.999999999994178e-01    1.000000000000005e+00   -1.223500467606442e-14    1.599978829980309e-14   -3.281409025794949e-15    1.543404844354062e+03
 8.500000000000001e-01    9.999999999994367e-01    9.999999999994097e-01    1.000000000000006e+00   -1.118723169657443e-14    1.455779941039737e-14   -5.488150081958687e-15    1.543404844354064e+03
 8.600000000000001e-01    9.999999999994307e-01    9.999999999994029e-01    1.000000000000004e+00   -1.167295426984793e-14    1.330532906074211e-14   -4.031876828930470e-15    1.543404844354059e+03
 8.700000000000001e-01    9.999999999994242e-01    9.999999999993968e-01    1.000000000000004e+00   -1.249868264441290e-14    1.506433866538259e-14   -5.710872313241522e-15    1.543404844354062e+03
 8.800000000000001e-01    9.999999999994180e-01    9.999999999993899e-01    1.000000000000006e+00   -1.219684075959293e-14    1.427330476033717e-14   -4.294091124346089e-15    1.543404844354063e+03
 8.900000000000001e-01    9.999999999994134e-01    9.999999999993839e-01    1.000000000000005e+00   -1.202683785894720e-14    1.441208263841531e-14   -5.307169634316544e-15    1.543404844354062e+03
 9.000000000000000e-01    9.999999999994063e-01    9.999999999993772e-01    1.000000000000006e+00   -9.641593079479094e-15    1.401656568589260e-14   -4.030521576214863e-15    1.543404844354060e+03
 9.100000000000000e-01    9.999999999993995e-01    9.999999999993711e-01    1.000000000000005e+00   -1.029905327687430e-14    1.626476731075854e-14   -4.331387679079590e-15    1.543404844354058e+03
 9.200000000000000e-01    9.999999999993925e-01    9.999999999993656e-01    1.000000000000006e+00   -1.017588791007995e-14    1.598027266069835e-14   -3.417622088108807e-15    1.543404844354061e+03
 9.300000000000000e-01    9.999999999993846e-01    9.999999999993582e-01    1.000000000000007e+00   -1.061303822602611e-14    1.851296893562449e-14   -4.334857126031544e-15    1.543404844354066e+03
 9.400000000000001e-01    9.999999999993795e-01    9.999999999993525e-01    1.000000000000008e+00   -1.180652797749815e-14    1.675048988403205e-14   -4.183502502752567e-15    1.543404844354066e+03
 9.500000000000001e-01    9.999999999993719e-01    9.999999999993472e-01    1.000000000000008e+00   -1.089059398218239e-14    1.805500193796661e-14   -3.221815175757925e-15    1.543404844354066e+03
 9.600000000000001e-01    9.999999999993656e-01    9.999999999993396e-01    1.000000000000008e+00   -1.145958328230279e-14    1.917910275039958e-14   -2.627889225670366e-15    1.543404844354065e+03
 9.700000000000001e-01    9.999999999993591e-01    9.999999999993334e-01    1.000000000000006e+00   -1.146999162315865e-14    1.866562460151044e-14   -1.519400924521186e-15    1.543404844354060e+03
 9.800000000000001e-01    9.999999999993517e-01    9.999999999993273e-01    1.000000000000009e+00   -1.245184511056152e-14    1.644517855226013e-14   -1.317956160873379e-15    1.543404844354064e+03
 9.900000000000001e-01    9.999999999993436e-01    9.999999999993190e-01    1.000000000000011e+00   -1.345451527967612e-14    1.772193503057906e-14   -1.513979913658758e-15    1.543404844354073e+03
 1.000000000000000e+00    9.999999999993376e-01    9.999999999993112e-01    1.000000000000010e+00   -1.376676550535194e-14    1.582067810090848e-14   -1.279792244401889e-15    1.543404844354074e+03
 1.010000000000000e+00    9.999999999993305e-01    9.999999999993041e-01    1.000000000000012e+00   -1.370778490716873e-14    1.539046667886623e-14   -9.328475492065280e-16    1.543404844354087e+03
 1.020000000000000e+00    9.999999999993240e-01    9.999999999992968e-01    1.000000000000012e+00   -1.411024075359535e-14    1.565414464721471e-14   -1.018716361267380e-15    1.543404844354086e+03
 1.030000000000000e+00    9.999999999993174e-01    9.999999999992907e-01    1.000000000000011e+00   -1.320124565218350e-14    1.505046087757478e-14    9.974659986866641e-17    1.543404844354071e+03
 1.040000000000000e+00    9.999999999993097e-01    9.999999999992829e-01    1.000000000000011e+00   -1.244837566360957e-14    1.371125435412068e-14   -2.801578413702543e-16    1.543404844354078e+03
 1.050000000000000e+00    9.999999999993039e-01    9.999999999992769e-01    1.000000000000011e+00   -1.260103132949553e-14    1.434269369937624e-14    2.142383492831357e-16    1.543404844354083e+03
 1.060000000000000e+00    9.999999999992957e-01    9.999999999992709e-01    1.000000000000012e+00   -1.223326995258844e-14    1.470351618237942e-14   -8.595554823465079e-16    1.543404844354089e+03
 1.070000000000000e+00    9.999999999992890e-01    9.999999999992630e-01    1.000000000000012e+00   -1.131733595727269e-14    1.437391872194382e-14   -8.500145032286355e-16    1.543404844354094e+03
 1.080000000000000e+00    9.999999999992835e-01    9.999999999992548e-01    1.000000000000010e+00   -1.123406923042580e-14    1.409289351883558e-14   -2.836272883222080e-15    1.543404844354088e+03
 1.090000000000000e+00    9.999999999992762e-01    9.999999999992479e-01    1.000000000000011e+00   -1.318389841742373e-14    1.545291672400140e-14   -2.285877650359813e-15    1.543404844354088e+03
 1.100000000000000e+00    9.999999999992690e-01    9.999999999992421e-01    1.000000000000011e+00   -1.337818744673314e-14    1.430799922985670e-14   -3.248540759309693e-15    1.543404844354091e+03
 1.110000000000000e+00    9.999999999992638e-01    9.999999999992355e-01    1.000000000000010e+00   -1.393329895904571e-14    1.484055933698158e-14   -2.820985632590034e-15    1.543404844354086e+03
 1.120000000000000e+00    9.999999999992568e-01    9.999999999992312e-01    1.000000000000008e+00   -1.566108354111861e-14    1.535924165629865e-14   -2.893085077060320e-15    1.543404844354082e+03
 1.130000000000000e+00    9.999999999992493e-01    9.999999999992232e-01    1.000000000000007e+00   -1.539046667886623e-14    1.586925035823583e-14   -2.436961223095668e-15    1.543404844354082e+03
 1.140000000000000e+00    9.999999999992424e-01    9.999999999992163e-01    1.000000000000005e+00   -1.706967900361178e-14    1.624395062904682e-14   -2.886363023590910e-15    1.543404844354068e+03
 1.150000000000000e+00    9.999999999992354e-01    9.999999999992095e-01    1.000000000000005e+00   -1.731254029024853e-14    1.459249387991690e-14   -3.390733874231167e-15    1.543404844354072e+03
 1.160000000000000e+00    9.999999999992283e-01    9.999999999992023e-01    1.000000000000007e+00   -1.631333956808589e-14    1.457167719820518e-14   -3.399624332045548e-15    1.543404844354073e+03
 1.170000000000000e+00    9.999999999992203e-01    9.999999999991956e-01    1.000000000000007e+00   -1.604272270583351e-14    1.430799922985670e-14   -3.181049174072470e-15    1.543404844354071e+03
 1.180000000000000e+00    9.999999999992134e-01    9.999999999991885e-01    1.000000000000008e+00   -1.663946758156953e-14    1.425248807862545e-14   -5.165139149720943e-15    1.543404844354067e+03
 1.190000000000000e+00    9.999999999992082e-01    9.999999999991819e-01    1.000000000000009e+00   -1.577210584358113e-14    1.386391002000664e-14   -5.777930217609750e-15    1.543404844354060e+03
 1.200000000000000e+00    9.999999999992009e-01    9.999999999991768e-01    1.000000000000009e+00   -1.471392452323528e-14    1.394717674685353e-14   -6.855627177060342e-15    1.543404844354062e+03
 1.210000000000000e+00    9.999999999991946e-01    9.999999999991691e-01    1.000000000000009e+00   -1.272246197281390e-14    1.298960938811433e-14   -7.205173957469668e-15    1.543404844354061e+03
 1.220000000000000e+00    9.999999999991894e-01    9.999999999991623e-01    1.000000000000009e+00   -1.257674520083185e-14    1.411371020054730e-14   -6.122272827591146e-15    1.543404844354058e+03
 1.230000000000000e+00    9.999999999991842e-01    9.999999999991561e-01    1.000000000000010e+00   -1.351349587785933e-14    1.314226505400029e-14   -5.672112085575165e-15    1.543404844354064e+03
 1.240000000000000e+00    9.999999999991773e-01    9.999999999991507e-01    1.000000000000010e+00   -1.557781681427173e-14    1.394717674685353e-14   -6.198166979665132e-15    1.543404844354054e+03
 1.250000000000000e+00    9.999999999991716e-01    9.999999999991447e-01    1.000000000000010e+00   -1.580333086614871e-14    1.310063169057685e-14   -4.916206330918271e-15    1.543404844354054e+03
 1.260000000000000e+00    9.999999999991656e-01    9.999999999991381e-01    1.000000000000011e+00   -1.570965579844597e-14    1.269817584415023e-14   -3.720981855970251e-15    1.543404844354058e+03
 1.270000000000000e+00    9.999999999991606e-01    9.999999999991319e-01    1.000000000000009e+00   -1.562985851855103e-14    1.135203042679223e-14   -4.176346768414163e-15    1.543404844354046e+03
 1.280000000000000e+00    9.999999999991533e-01    9.999999999991261e-01    1.000000000000009e+00   -1.467576060676379e-14    1.162958618294851e-14   -4.585741508744690e-15    1.543404844354038e+03
 1.290000000000000e+00    9.999999999991449e-01    9.999999999991189e-01    1.000000000000008e+00   -1.602884491802570e-14    1.063038546078587e-14   -5.380678541611061e-15    1.543404844354026e+03
 1.300000000000000e+00    9.999999999991367e-01    9.999999999991102e-01    1.000000000000009e+00   -1.689620665601410e-14    1.001976279724204e-14   -5.355525051209398e-15    1.543404844354034e+03
 1.310000000000000e+00    9.999999999991310e-01    9.999999999991027e-01    1.000000000000009e+00   -1.692743167858168e-14    9.325873406851315e-15   -4.758780175473376e-15    1.543404844354032e+03
 1.320000000000000e+00    9.999999999991230e-01    9.999999999990955e-01    1.000000000000010e+00   -1.765254609153999e-14    1.054711873393899e-14   -4.554082805308113e-15    1.543404844354038e+03
 1.330000000000000e+00    9.999999999991160e-01    9.999999999990877e-01    1.000000000000009e+00   -1.821806594470843e-14    9.728329253277934e-15   -4.323798263872192e-15    1.543404844354034e+03
 1.340000000000000e+00    9.999999999991088e-01    9.999999999990807e-01    1.000000000000008e+00   -1.695865670114927e-14    9.603429163007604e-15   -3.995068165174587e-15    1.543404844354033e+03
 1.350000000000000e+00    9.999999999991001e-01    9.999999999990741e-01    1.000000000000007e+00   -1.800642968063926e-14    9.617306950815419e-15   -4.183719343187065e-15    1.543404844354030e+03
 1.360000000000000e+00    9.999999999990929e-01    9.999999999990677e-01    1.000000000000007e+00   -1.852337727648035e-14    9.464651284929460e-15   -4.720616259001886e-15    1.543404844354030e+03
 1.370000000000000e+00    9.999999999990856e-01    9.999999999990605e-01    1.000000000000006e+00   -1.957808914987424e-14    8.978928711655954e-15   -5.444863310222203e-15    1.543404844354026e+03
