         time                    bomegax                  bomegay                  bomegaz                    bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 5.100000000000000e-01    2.586136711023119e+02    1.775239046832404e+02    1.737161633585356e+01   -3.328452217893235e-02   -4.488776052706007e-02    9.984373938998392e-01    5.691655428149164e-01   -8.220262832835853e-01   -1.798261556245615e-02    8.215489793404309e-01    5.676776184995938e-01    5.290931864378892e-02
 5.200000000000000e-01    2.571954021119879e+02    1.792683200998044e+02    2.026701403445648e+01    4.098379209582606e-02    5.024875898352633e-02   -9.978954810025773e-01   -5.750772137332650e-01    8.179105053595452e-01    1.756711321070232e-02    8.170719228011760e-01    5.731469858968368e-01    6.241799041448836e-02
 5.300000000000000e-01    2.559072321073099e+02    1.807674125027054e+02    2.306103892414385e+01   -4.839084158398779e-02   -5.547924510911410e-02    9.972865083877401e-01    5.802161255938668e-01   -8.142820715677410e-01   -1.714513118805207e-02    8.130237229327314e-01    5.778120466769368e-01    7.159374737805518e-02
 5.400000000000000e-01    2.547510705872832e+02    1.820356346806994e+02    2.572802435181182e+01    5.544254292466701e-02    6.051952200155056e-02   -9.966260642237043e-01   -5.846203241882238e-01    8.111344403526682e-01    1.673308755345113e-02    8.094104033059266e-01    5.817201278363817e-01    8.035229859924817e-02
 5.500000000000000e-01    2.537271016977801e+02    1.830893460541763e+02    2.824360849961171e+01   -6.207931464017509e-02   -6.531233067564056e-02    9.959319545806277e-01    5.883328793822515e-01   -8.084536214813379e-01   -1.634518126957618e-02    8.062323373143364e-01    5.849248168567778e-01    8.861363830556504e-02
 5.600000000000001e-01    2.528337605484964e+02    1.839466095162900e+02    3.058493590628766e+01    6.824540378622453e-02    6.980366300689723e-02   -9.952235997463719e-01   -5.914015131568909e-01    8.062186274438450e-01    1.599296712704282e-02    8.034841722756827e-01    5.874852963205782e-01    9.630270769612265e-02
 5.700000000000001e-01    2.520677275284071e+02    1.846269773470679e+02    3.273084193785092e+01   -7.388915428968144e-02   -7.394346626540443e-02    9.945213706473337e-01    5.938782361787731e-01   -8.044020263049583e-01   -1.568504602717035e-02    8.011548124247085e-01    5.894656426566567e-01    1.033500007553088e-01
 5.800000000000001e-01    2.514239404148767e+02    1.851512687768824e+02    3.466201961121557e+01    7.896326882303073e-02    7.768622954412054e-02   -9.938458894190917e-01   -5.958189902767255e-01    8.029705736827714e-01    1.542687993021812e-02    7.992274601151578e-01    5.909340974577977e-01    1.096921121121617e-01
 5.900000000000001e-01    2.508956239607166e+02    1.855413416418188e+02    3.636116839097585e+01   -8.342507031251274e-02   -8.099144688037795e-02    9.932173192080306e-01    5.972832922648968e-01   -8.018859008446778e-01   -1.522073608297183e-02    7.976797141862600e-01    5.919623193736372e-01    1.152722256986876e-01
 6.000000000000001e-01    2.504743365529777e+02    1.858198604195264e+02    3.781312475712352e+01    8.723676739422406e-02    8.382395626761352e-02   -9.926546684368395e-01   -5.983338729926423e-01    8.011052360913639e-01    1.506576037877111e-02    7.964837241550762e-01    5.926246240767516e-01    1.200405435424569e-01
